idx	input	gold	vanilla_pred	attn_pred
4441	haanfte	हांफते	हांफेट	हांफते
4445	hymen	हाइमन	हामेन	हाइमन
4447	haani	हानी	हानि	हानी
4448	hani	हानी	हानि	हानी
4449	haarjeet	हारजीत	हरजीत	हारजीत
4454	haalchaal	हालचाल	हालचल	हालचाल
4479	hooper	हूपर	हाउपर	हूपर
4482	hegde	हेगडे	हेगड़े	हेगडे
4498	hoshangabaad	होशंगाबाद	होशनगाबाद	होशंगाबाद
4499	hoshangabad	होशंगाबाद	होशनगाबाद	होशंगाबाद
4501	hostess	होस्टेस	हॉस्टेस्ट	होस्टेस
